id,description,title,repin_count,text
188658671886229103,"Party season calls for glimmering jewelry that catches the light no matter where you're standing to ensure you're always being admired. Enjoy gold gemstone necklaces, huggie pearl earrings, birthstone pendants, silver and diamond cuffs, and more joy-inducing body decorations to prepare for those holiday invites to come—maybe even get a start on shopping for someone else, too.",Glimmering Jewelry to Make You Sparkle From Head to Toe,4,"glimmering jewelry to make you sparkle from head to toe party season calls for glimmering jewelry that catches the light no matter where you're standing to ensure you're always being admired. enjoy gold gemstone necklaces, huggie pearl earrings, birthstone pendants, silver and diamond cuffs, and more joy-inducing body decorations to prepare for those holiday invites to come—maybe even get a start on shopping for someone else, too."
188658671886224574,Sydney Sweeney looks like an absolute doll in this pink ballerina dress at the LACMA Gala. We're loving all of the cocktail dresses and gowns we're seeing on the red carpet.,Sydney Sweeney in Ballerinacore,5,sydney sweeney in ballerinacore sydney sweeney looks like an absolute doll in this pink ballerina dress at the lacma gala. we're loving all of the cocktail dresses and gowns we're seeing on the red carpet.
188658671886224017,Lindsay Lohan is a glowing goddess on the streets of NYC in this bright number. We're loving her comeback and can't wait to see what other outfits she has in store for our viewing pleasure.,Lindsay Lohan is A Bright Beauty,0,lindsay lohan is a bright beauty lindsay lohan is a glowing goddess on the streets of nyc in this bright number. we're loving her comeback and can't wait to see what other outfits she has in store for our viewing pleasure.
188658671886223445,"The evening has just begun, and you're about to prove to all party-goers in attendance that you're the host with the most in this stunning emerald green gown from Jaline. Sound like something you desire? All holiday season, our editors are curating the most elegant festive edit of jewel-toned dresses, stunning suits, crystal-embellished heels, satin purses, and so much more—no matter how many soirées you throw or celebrations you attend, you'll only ever be dressed to the nines.",Dresses You Can Add to Your Holiday Outfit Wardrobe,2,"dresses you can add to your holiday outfit wardrobe the evening has just begun, and you're about to prove to all party-goers in attendance that you're the host with the most in this stunning emerald green gown from jaline. sound like something you desire? all holiday season, our editors are curating the most elegant festive edit of jewel-toned dresses, stunning suits, crystal-embellished heels, satin purses, and so much more—no matter how many soirées you throw or celebrations you attend, you'll only ever be dressed to the nines."
188658671886217071,"If you're looking to transform your closet into something elevated and sophisticated, you've come to the right place. Shop high-quality basics, classics pieces you'll have for years, relaxed fits, and more.",Coveted Clothing To Add To Your Fall Outfit Rotation,5,"coveted clothing to add to your fall outfit rotation if you're looking to transform your closet into something elevated and sophisticated, you've come to the right place. shop high-quality basics, classics pieces you'll have for years, relaxed fits, and more."
188658671886216567,"The Miu Miu skirt, the white knee-high boots, the scarf tied around her neck—Olivia Culpo looks like a bright fall day in this NYC street style outfit, and we're loving it.",Olivia Culpo is a Fall Fashion Gem in This Street Style Look,6,"olivia culpo is a fall fashion gem in this street style look the miu miu skirt, the white knee-high boots, the scarf tied around her neck—olivia culpo looks like a bright fall day in this nyc street style outfit, and we're loving it."
188658671886215620,"It's officially party season! Become the best dressed everything with our collection of unforgettable dresses, head-turning shoes, glittering bags, chic hair accessories, and more. There's something for everyone, so whether you're a minimalist or prefer full-blast glam, you'll find the perfect pieces.",Holiday Dressing For Festive Parties,3,"holiday dressing for festive parties it's officially party season! become the best dressed everything with our collection of unforgettable dresses, head-turning shoes, glittering bags, chic hair accessories, and more. there's something for everyone, so whether you're a minimalist or prefer full-blast glam, you'll find the perfect pieces."
188658671886213035,A top-heavy outfit thanks to a boxy leather jacket is something we can definitely get behind for fall. Shop outerwear and jackets here.,"Blazers, Jackets, and Coats You Need in Your Life",4,"blazers, jackets, and coats you need in your life a top-heavy outfit thanks to a boxy leather jacket is something we can definitely get behind for fall. shop outerwear and jackets here."
188658671886212354,"Maximalism is all the rage, and Aurora Culpo is winning the game with this look heavy on different textures and luxe fabrics.",Aurora Culpo is a Maximalist Queen in This Texture-Heavy Outfit,2,"aurora culpo is a maximalist queen in this texture-heavy outfit maximalism is all the rage, and aurora culpo is winning the game with this look heavy on different textures and luxe fabrics."
188658671886211435,"There's an art to planning out the perfect table setting, and this masterpiece from La DoubleJ needs to be seen. Whether you're holding a dinner party for the first time or you're a seasoned hostess, you want your tablescape to captivate and awe your guests (who only deserve the best), which La DoubleJ excels at. Shop printed dessert plates, maximalist cups and saucers, jewel-toned glasses, and even patterned aprons to keep you chic and clean at the same time.",The Home Décor Brand You Need to Know Now,2,"the home décor brand you need to know now there's an art to planning out the perfect table setting, and this masterpiece from la doublej needs to be seen. whether you're holding a dinner party for the first time or you're a seasoned hostess, you want your tablescape to captivate and awe your guests (who only deserve the best), which la doublej excels at. shop printed dessert plates, maximalist cups and saucers, jewel-toned glasses, and even patterned aprons to keep you chic and clean at the same time."
188658671886209752,"Crop top season isn't just for summer, didn't you know? It's a year-round trend, and one that we're happy sticking with (as long as we have our jackets to keep us warm).",Shop The Tops You'll Want to Add to Cart ASAP,4,"shop the tops you'll want to add to cart asap crop top season isn't just for summer, didn't you know? it's a year-round trend, and one that we're happy sticking with (as long as we have our jackets to keep us warm)."
188658671886208943,"It's not newsworthy that we adore denim, and Miss Sophia Culpo looked like a chic vision in her neutral fit paired with a jean trench.",Sophia Culpo Looks Endlessly Chic in Her Denim Trench Coat,4,"sophia culpo looks endlessly chic in her denim trench coat it's not newsworthy that we adore denim, and miss sophia culpo looked like a chic vision in her neutral fit paired with a jean trench."
188658671886207813,"Name something better than a chic, cozy sweater in the fall. Go ahead, we'll wait... 🤨⏳ If you can't come up with anything better, you're going to love our warm, knitted additions that will last you for many cold seasons ahead. Shop yellow cashmere crewnecks, monogram cardigans, black crop tops, striped turtlenecks, and more here.",Knitwear and Sweaters You'll Add to Cart ASAP,1,"knitwear and sweaters you'll add to cart asap name something better than a chic, cozy sweater in the fall. go ahead, we'll wait... 🤨⏳ if you can't come up with anything better, you're going to love our warm, knitted additions that will last you for many cold seasons ahead. shop yellow cashmere crewnecks, monogram cardigans, black crop tops, striped turtlenecks, and more here."
188658671886205703,"Follow Julia Garner's lead in beauty this season with a dramatic eye and bold lip before you head to your holiday parties, winter weddings, and miscellaneous festive activities.",Julia Garner Stuns in This Red Lip at the LACMA Gala,0,"julia garner stuns in this red lip at the lacma gala follow julia garner's lead in beauty this season with a dramatic eye and bold lip before you head to your holiday parties, winter weddings, and miscellaneous festive activities."
188658671886204810,There's never a better time to wear your loungewear out of the house than when it's getting to be a bit too chilly for your liking. Shop our cozy and comfortable pieces that will keep you chic when you just don't feel like changing to leave the house.,Cozy & Chic Loungewear You're Soon to Be Living In,2,cozy & chic loungewear you're soon to be living in there's never a better time to wear your loungewear out of the house than when it's getting to be a bit too chilly for your liking. shop our cozy and comfortable pieces that will keep you chic when you just don't feel like changing to leave the house.
188658671886202564,"Take your style inspo literally straight off the runway with these coveted bodysuits, blouses, and crop tops from the buzziest brands for fall. Whether it's a statement or shell, make sure your closet is decorated with only the latest styles and best quality pieces, all available now in our designer edit.",Designer Tops You Need To Add To Your Fall Closet,2,"designer tops you need to add to your fall closet take your style inspo literally straight off the runway with these coveted bodysuits, blouses, and crop tops from the buzziest brands for fall. whether it's a statement or shell, make sure your closet is decorated with only the latest styles and best quality pieces, all available now in our designer edit."
188658671886197737,No budget? No problem. For those who believe you can’t put a price on a great gift—or just those who have plenty of coin to spare—our luxe gift guide showcasing splurge-worthy finds is your one-stop shop.,For the Person in Your Life Who's Worth the Splurge,0,for the person in your life who's worth the splurge no budget? no problem. for those who believe you can’t put a price on a great gift—or just those who have plenty of coin to spare—our luxe gift guide showcasing splurge-worthy finds is your one-stop shop.
188658671886193051,"Not too high, not too low, the exceptional gifts in this edit bear the Goldilocks of price tags in that they are all juuust right. Priced reasonably between $100 and $300, this collection of gifts includes a high-low mix of wardrobe basics, home must-haves, cozy matching sets, and even statement jewelry.",The Goldilocks of Gift-Giving,0,"the goldilocks of gift-giving not too high, not too low, the exceptional gifts in this edit bear the goldilocks of price tags in that they are all juuust right. priced reasonably between $100 and $300, this collection of gifts includes a high-low mix of wardrobe basics, home must-haves, cozy matching sets, and even statement jewelry."
